                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7854,                 4.8966,                 1.3978,                0.00241,                0.41818,                0.05017,                 0.0271,                  1.812,                 4.8836,                  1.189,               0.000275,               0.000275,               0.000275
                      2,                 1.7504,                 4.1015,                 1.2906,                0.00277,                0.42772,                0.06415,                0.03521,                 1.7631,                 4.5181,                 1.2314,             0.00050681,             0.00050681,             0.00050681
                      3,                 1.6644,                 3.8319,                 1.3408,                0.49703,                0.01645,                0.10276,                0.05677,                 1.7054,                 4.2137,                 1.3058,              0.0006817,              0.0006817,              0.0006817
                      4,                 1.5818,                 3.5243,                 1.2564,                0.24539,                0.10509,                0.11445,                0.06664,                 1.7979,                 3.7949,                 1.3163,             0.00079966,             0.00079966,             0.00079966
                      5,                 1.6263,                 3.4261,                 1.2975,                 0.2021,                0.29706,                0.16966,                0.09014,                  1.781,                 3.5492,                 1.3265,               0.000755,               0.000755,               0.000755
                      6,                 1.5739,                 3.3142,                 1.2653,                0.23009,                0.30714,                0.17552,                 0.0892,                 1.7789,                 3.3463,                 1.3488,               0.000755,               0.000755,               0.000755
                      7,                 1.5049,                 3.1547,                 1.2514,                0.30436,                0.26484,                0.19945,                0.11426,                 1.7508,                 3.8633,                 1.3961,             0.00063125,             0.00063125,             0.00063125
                      8,                 1.5352,                 3.0193,                 1.2437,                0.30204,                0.31218,                0.21316,                0.11384,                  1.768,                 3.2992,                 1.3824,              0.0005075,              0.0005075,              0.0005075
                      9,                  1.481,                  2.848,                 1.1878,                0.22913,                0.33594,                0.23136,                 0.1314,                 1.7183,                 3.0574,                 1.3267,             0.00038375,             0.00038375,             0.00038375
                     10,                 1.4609,                 2.7499,                 1.1916,                0.26625,                0.32725,                 0.2443,                0.13319,                 1.6994,                 3.0065,                 1.3245,                0.00026,                0.00026,                0.00026
