                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2374,                 4.6478,                 1.7398,                0.41565,                 0.1258,                0.06763,                0.02755,                 2.1179,                 3.0662,                  1.498,             0.00023681,             0.00023681,             0.00023681
                      2,                 2.1502,                 3.7179,                 1.6529,                0.40983,                0.13601,                0.07219,                0.02752,                 2.1267,                  2.748,                 1.6228,              0.0004278,              0.0004278,              0.0004278
                      3,                 2.1039,                 3.3243,                 1.6285,                0.41047,                0.11845,                0.05506,                0.02134,                 2.1215,                 2.7869,                 1.5865,             0.00057167,             0.00057167,             0.00057167
                      4,                 2.0684,                 3.0351,                 1.6248,                 0.5731,                0.15391,                0.10056,                0.04262,                 2.0699,                 2.4924,                 1.5385,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.9942,                 2.7927,                 1.5469,                0.59217,                0.15033,                 0.1098,                0.04351,                 2.0474,                 2.4969,                 1.5445,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.9485,                 2.6306,                 1.5204,                0.63328,                0.16621,                0.14668,                0.06767,                 2.0014,                 2.2856,                 1.5225,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.9124,                 2.4951,                 1.4821,                0.52572,                0.18653,                 0.1539,                0.06886,                 2.0095,                 2.1805,                 1.4716,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.8677,                 2.3775,                 1.4718,                0.66202,                0.18375,                0.19588,                0.09294,                 1.9809,                 2.1241,                 1.4821,             0.00028988,             0.00028988,             0.00028988
                      9,                  1.831,                 2.2556,                 1.4366,                0.63515,                0.21668,                0.22527,                0.10379,                 1.9632,                 2.0552,                 1.4755,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.7775,                 2.1505,                 1.4072,                 0.6732,                0.21129,                0.25151,                0.11637,                 1.9576,                 1.9641,                  1.436,             0.00014851,             0.00014851,             0.00014851
