                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6201,                 5.3346,                 2.2585,                0.00362,                0.17939,                0.01947,                0.00748,                   2.07,                 5.6768,                 1.7345,             0.00018326,             0.00018326,             0.00018326
                      2,                 2.4327,                 4.7655,                  2.078,                0.00531,                0.27798,                0.03777,                0.01337,                 2.1827,                 5.2681,                 1.6836,             0.00033774,             0.00033774,             0.00033774
                      3,                 2.3877,                 4.5258,                 1.9148,                0.00359,                0.44202,                0.05869,                 0.0186,                  2.154,                 5.0729,                  1.942,             0.00045428,             0.00045428,             0.00045428
                      4,                 2.2484,                 4.2282,                 1.9297,                0.45556,                0.08263,                0.04784,                0.01894,                 1.9578,                 4.7833,                 1.8229,              0.0005329,              0.0005329,              0.0005329
                      5,                 2.2599,                 4.0891,                 1.9207,                0.45075,                0.12081,                0.02994,                0.01036,                 2.1187,                 5.6849,                 2.3337,             0.00050313,             0.00050313,             0.00050313
                      6,                 2.2464,                 4.0267,                 1.8546,                0.45334,                0.10444,                0.06863,                0.02744,                 2.1532,                 4.4507,                 1.8857,             0.00050313,             0.00050313,             0.00050313
                      7,                 2.2135,                 3.7976,                 1.8635,                0.10745,                0.17114,                0.09651,                0.03963,                 2.0208,                 4.0757,                 1.7237,             0.00042066,             0.00042066,             0.00042066
                      8,                 2.1494,                 3.7523,                 1.7859,                 0.0722,                0.21818,                0.10971,                0.04089,                 2.1279,                 4.3389,                 1.8203,              0.0003382,              0.0003382,              0.0003382
                      9,                 2.1481,                 3.5924,                  1.795,                0.31307,                 0.2097,                0.18629,                0.07222,                 2.1265,                 4.2534,                  1.796,             0.00025573,             0.00025573,             0.00025573
                     10,                  2.119,                 3.4151,                 1.7738,                0.41057,                0.16747,                 0.1858,                0.07185,                 2.0115,                 3.9161,                 1.7629,             0.00017326,             0.00017326,             0.00017326
